Title,Time,Artist,Album,Genre,Plays
A-O-K,2:54,Tai Verdes,TV,Pop,
Aa Jao Meri Tamanna,4:06,"Javed Ali, JoJo & Pritam",Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),Bollywood,1
Aa To Sahi,3:41,"Meet Bros, Neha Kakkar & Roach Killa",Judwaa 2 (Original Motion Picture Soundtrack),Bollywood,20
"Aabaad Barbaad (From ""Ludo"")",5:09,Pritam & Arijit Singh,"Aabaad Barbaad (From ""Ludo"") - Single",Bollywood,3
Aaftaab,3:53,The Local Train,Aaftaab - Single,Rock,
Aahun Aahun,4:50,"Neeraj Shridhar, Master Saleem & Suzi Q",Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,
Aaj Phir,4:22,Arijit Singh & Samira Koppikar,Hate Story 2 (Original Motion Picture Soundtrack),Bollywood,
Aaj Se Teri,5:12,Arijit Singh,Padman (Original Motion Picture Soundtrack) - EP,Bollywood,53
Aajkal Tere Mere Pyar Ke Charche (feat. Sanah Moidutty),3:06,Sanam,Aajkal Tere Mere Pyar Ke Charche (feat. Sanah Moidutty) - Single,Indian Pop,2
Aakdan,2:56,Maninder Buttar,Jugni (My First Album),Punjabi,
Aankh Marey,3:33,"Neha Kakkar, Mika Singh & Kumar Sanu",Simmba (Original Motion Picture Soundtrack),Bollywood,12
Aankhein,3:39,Vilen,Aankhein - Single,Indian,28
Aankhein (feat. Roy & Udbhav),2:49,Karun,Granth,Worldwide,1
Aankhon Mein Teri,4:02,KK,Om Shanti Om (Original Motion Picture Soundtrack),Bollywood,16
Aao Huzoor Tumko,5:53,Asha Bhosle,Kismat (Original Motion Picture Soundtrack),Bollywood,10
Aao Milo Chalo,5:26,Shaan & Ustad Sultan Khan,Jab We Met (Original Motion Picture Soundtrack),Bollywood,1
Aao Raja,4:06,Neha Kakkar & Yo Yo Honey Singh,Gabbar Is Back (Original Motion Picture Soundtrack),Bollywood,5
Aaoge Jab Tum,5:55,Rashid Khan,Jab We Met (Original Motion Picture Soundtrack),Bollywood,
Aapka Kya Hoga (Dhanno),5:07,"Mika Singh, Sunidhi Chauhan & Sajid Khan",Housefull (Original Motion Picture Soundtrack),Bollywood,16
Aas Paas Khuda,5:19,Rahat Fateh Ali Khan,Anjaana Anjaani (Original Motion Picture Soundtrack),Bollywood,2
Aati Kya Khandala,4:12,Aamir Khan & Alka Yagnik,Ghulam (Original Motion Picture Soundtrack),Bollywood,2
Aaya Na Tu,3:30,Arjun Kanungo & Momina Mustehsan,Aaya Na Tu - Single,Indian Pop,29
Aayat,4:22,"Arijit Singh, Mujtaba Aziz Naza, Shadab, Altamash Faridi & Farhan Sabri",Bajirao Mastani (Original Motion Picture Soundtrack),Bollywood,8
Ab To Forever,5:02,"Vishal & Shekhar, Shreya Ghoshal, Vishal Dadlani & KK",Ta Ra Rum Pum (Original Motion Picture Soundtrack),Bollywood,4
ABCD,3:26,"Benny Dayal, Shefali Alvares & Yo Yo Honey Singh",Yaariyan (Original Motion Picture Soundtrack),Bollywood,1
abcdefu,2:49,GAYLE,abcdefu - Single,Pop,4
Abhi Mujh Mein Kahin,6:05,Ajay-Atul & Sonu Nigam,Agneepath (Original Motion Picture Soundtrack),Bollywood,3
Abhi Toh Party Shuru Hui Hai,3:00,Badshah & Aastha,Khoobsurat (Original Motion Picture Soundtrack),Bollywood,3
About Damn Time,3:12,Lizzo,Special,Pop,
Achi Maza Aayi,5:56,Dino James,Achi Maza Aayi - Single,Indian Pop,3
Achi Maza Aayi,6:35,Dino James,Achi Maza Aayi - Single,Hip-Hop/Rap,5
Act Up,2:38,City Girls,Girl Code,Hip-Hop/Rap,1
Adhi Adhi Raat,3:54,Bilal Saeed,Adhi Adhi Raat - Single,Worldwide,1
Ae Dil Hai Mushkil (Title Track),4:29,Pritam & Arijit Singh,Ae Dil Hai Mushkil (Deluxe Edition) [Original Motion Picture Soundtrack],Bollywood,7
Afghan Jalebi (Ya Baba),3:51,Asrar & Akhtar Channal,Phantom (Original Motion Picture Soundtrack) - EP,Bollywood,5
Afreen Afreen (Coke Studio Season 9),6:40,Rahat Fateh Ali Khan & Momina Mustehsan,Afreen Afreen (Coke Studio Season 9) - Single,Worldwide,
Afterhours (feat. Diplo & Nina Sky),4:36,TroyBoi,Afterhours (feat. Diplo & Nina Sky) - Single,Electronic,7
Agar Tum Saath Ho,5:41,Alka Yagnik & Arijit Singh,Tamasha (Original Motion Picture Soundtrack),Bollywood,1
Ain't It Different (feat. AJ Tracey & Stormzy),3:16,Headie One,Ain't It Different (feat. AJ Tracey & Stormzy) - Single,Hip-Hop/Rap,1
Ain't No Rest for the Wicked,2:55,Cage the Elephant,Cage the Elephant (Expanded Edition),Alternative,20
Ainvayi Ainvayi,4:29,Salim Merchant & Sunidhi Chauhan,Band Baaja Baaraat (Original Motion Picture Soundtrack),Bollywood,3
Aisay Kaisay (feat. Abdullah Kasumbi),3:19,Hasan Raheem,Aisay Kaisay (feat. Abdullah Kasumbi) - Single,Pop,32
Aise Na Mujhe Tum Dekho (The Unwind Mix),2:43,Ash King,Bollywood Unwind 2,Bollywood,2
Aithey Aa,3:39,"Akasa Singh, Neeti Mohan & Kamaal Khan",Bharat (Original Motion Picture Soundtrack),Bollywood,46
Ajj Din Chadheya,5:15,Rahat Fateh Ali Khan,Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,2
Ajnabee (feat. Tarun.) [Bonus Track],4:07,Karun & Gnrs,Qabool Hai (Deluxe),Pop,
"Akh Lad Jaave (From ""Loveyatri"")",3:00,"Badshah, Asees Kaur, Jubin Nautiyal & Tanishk Bagchi","Akh Lad Jaave (From ""Loveyatri"") - Single",Bollywood,12
Akhiyaan,3:12,Mitraz,Akhiyaan - Single,Pop,29
Akkad Bakkad,3:47,Nucleya,Koocha Monster - EP,Dance,
Alag Aasmaan,3:33,Anuv Jain,Alag Aasmaan - Single,Indian Pop,114
Alag Aasmaan (Acoustic),3:32,Anuv Jain,Alag Aasmaan (Acoustic) - Single,Singer/Songwriter,1
Alert Kudey,3:28,Garry Sandhu,Alert Kudey - Single,Punjabi Pop,26
All Black,3:38,Raftaar & Sukhi-E Musical Doctorz,All Black - Single,Indian Pop,4
All I Want,5:06,Kodaline,In a Perfect World,Alternative,
All of Me,4:30,John Legend,Love in the Future (Expanded Edition),R&B/Soul,15
All We Know (feat. Phoebe Ryan),3:14,The Chainsmokers,Collage - EP,Dance,
Allah Ke Bande,4:07,Kailash Kher,"Waisa Bhi Hota Hai, Pt. 2 (Original Motion Picture Soundtrack)",Bollywood,1
Amplifier,3:53,Imran Khan,Unforgettable,Worldwide,25
Anarkali Disco Chali,4:54,Mamta Sharma & Sukhwinder Singh,Housefull 2 (Original Motion Picture Soundtrack),Bollywood,
Angel Eyes (feat. Jucxi & Frankey Maxx),4:11,RAGHAV,Storyteller,Pop,1
Angreji Beat,4:16,Yo Yo Honey Singh & Gippy Grewal,International Villager,Indian Pop,2
Antisocial,2:42,Ed Sheeran & Travis Scott,No.6 Collaborations Project,Pop,2
Apna Time Aayega,2:20,Ranveer Singh & Dub Sharma,Gully Boy (Original Motion Picture Soundtrack),Bollywood,30
Apocalypse,4:50,Cigarettes After Sex,Cigarettes After Sex,Alternative,5
Arcade (feat. FLETCHER),3:07,Duncan Laurence,Arcade (feat. FLETCHER) - Single,Pop,9
Arijit Singh Mashup (By DJ Paroma),4:05,"Jeet Gannguli, Sharib-Toshi & Arijit Singh",Arijit Singh Mashup (By DJ Paroma) - Single,Indian Pop,1
Arrogant,1:42,"AP Dhillon, Shinda Kahlon & Gminxr",Arrogant - Single,Punjabi,5
As It Was,2:47,Harry Styles,Harry's House,Pop,1
Asal Mein,3:44,Darshan Raval,Asal Mein - Single,Indian,22
Ashq Na Ho,5:53,Arijit Singh,Holiday - A Soldier Is Never off Duty (Original Motion Picture Soundtrack),Bollywood,4
Asli Hip Hop,1:49,"Ranveer Singh, Spitfire, BeatRAW & D-cypher",Gully Boy (Original Motion Picture Soundtrack),Bollywood,4
Astronaut In The Ocean,2:13,Masked Wolf,Astronaut In The Ocean - Single,Hip-Hop/Rap,83
Astronomia,3:21,Tony Igy,Astronomia - Single,Dance,2
Astronomia 2K19 (Radio Edit),3:10,Stephan F,Astronomia 2K19 - Single,House,
Astronomy,4:04,Conan Gray,Astronomy - Single,Pop,1
At My Worst,2:50,Pink Sweat$,The Prelude - EP,R&B/Soul,33
